pair,genename,zscore
V$CREL_01 - V$NF1_Q6,SLC35E4,3.86023474395018
V$CREL_01 - V$NF1_Q6_01,SLC35E4,4.14698625454471
V$CP2_01 - V$GRE_C,SLC35E4,3.44651100778167
V$CP2_01 - V$SF1_Q6,SLC35E4,3.43193219359261
V$ETS_Q4 - V$NFKB_Q6,SLC35E4,3.27808530484961
V$ETS_Q6 - V$NFKB_Q6,SLC35E4,3.73273844199567
V$E2F_Q4_01 - V$GRE_C,SLC35E4,3.35930259622109
V$SREBP1_02 - V$STAT_01,SLC35E4,3.36304736605687
V$AHRHIF_Q6 - V$MYCMAX_B,SLC35E4,3.13745888153807
V$NFKB_Q6_01 - V$PU1_Q6,SLC35E4,3.39373240383947
V$E2F_Q3_01 - V$SF1_Q6,SLC35E4,3.34581265878516
V$SF1_Q6 - V$SMAD_Q6_01,SLC35E4,3.29807858444229
V$AML_Q6 - V$OSF2_Q6,SLC35E4,4.45286170531742
V$CETS168_Q6 - V$DR4_Q2,SLC35E4,3.15213471465691
V$AML_Q6 - V$LEF1TCF1_Q4,SLC35E4,3.34067937497241
V$AHRHIF_Q6 - V$E2F_Q3_01,SLC35E4,3.2049351025507
V$CMYB_01 - V$HNF4_Q6,PIM3,3.16807090715858
V$AHRHIF_Q6 - V$ELK1_02,PIM3,4.92781648326665
V$AP1FJ_Q2 - V$CETS1P54_01,PIM3,3.96459200733131
V$CEBP_Q3 - V$CETS1P54_01,PIM3,3.22950283419192
V$NFKAPPAB50_01 - V$OCT1_04,PIM3,3.11470913664043
V$AP1FJ_Q2 - V$E2F_Q3_01,PIM3,3.28799928092975
V$CREB_Q2 - V$E2F_Q4_01,PIM3,3.0004499655772
V$CREB_Q2 - V$PR_Q2,PIM3,3.20728382047688
V$NF1_Q6 - V$STAT6_01,PIM3,3.02682424018675
V$NF1_Q6 - V$NFKB_Q6_01,PIM3,3.26492860703694
V$ETS_Q4 - V$NFKB_C,PIM3,3.15744789126698
V$E2F_03 - V$E2F1_Q4,PIM3,3.47942327891325
V$MAF_Q6_01 - V$SF1_Q6,PIM3,3.19215984848693
V$CEBP_Q3 - V$GR_Q6_01,PIM3,3.10968631623078
V$CEBP_Q3 - V$ETS_Q6,PIM3,3.33978475984926
V$CEBP_Q2_01 - V$MYB_Q3,PIM3,3.58493730981311
V$NF1_Q6_01 - V$NFKB_Q6_01,PIM3,3.15323501350254
V$CREB_Q3 - V$E2F_Q3_01,PIM3,4.49736890396733
V$CREB_Q3 - V$E2F_Q4_01,PIM3,3.14796559349532
V$AHRHIF_Q6 - V$E2F_Q3_01,PIM3,3.36526591875486
V$CETS1P54_01 - V$DR4_Q2,BMF,3.63620273707078
V$CREL_01 - V$USF_Q6_01,BMF,3.73531448461371
V$AP1_Q2_01 - V$CEBPB_01,BMF,3.33495739890721
V$OCT1_02 - V$PEBP_Q6,BMF,3.0550465236366
V$GR_Q6 - V$HNF4_Q6,BMF,3.06619972368477
V$E2A_Q6 - V$GR_Q6,BMF,3.30538595638688
V$GR_Q6 - V$SMAD_Q6_01,BMF,4.35380472340902
V$E2A_Q6 - V$NFKB_Q6,BMF,3.44376692161501
V$AP1_C - V$SMAD_Q6_01,BMF,3.02085495393207
V$IRF_Q6 - V$NFAT_Q6,BMF,3.16472771937455
V$NFAT_Q6 - V$PIT1_Q6,BMF,3.23074188336457
V$SMAD_Q6_01 - V$SOX9_B1,BMF,3.02975181558326
V$PU1_Q6 - V$STAT6_01,BMF,3.1966550651076
V$IRF_Q6_01 - V$PPARA_02,BMF,3.03033341354894
V$DR4_Q2 - V$PU1_Q6,BMF,4.25574766364777
V$CETS168_Q6 - V$DR4_Q2,BMF,3.62233878536363
V$CREB_Q3 - V$HMGIY_Q6,BMF,3.30562989897995
V$CREB_Q3 - V$ETS_Q4,BMF,3.91142302478201
V$IRF_Q6 - V$NFAT_Q4_01,BMF,3.01087117946461
V$IRF_Q6 - V$KROX_Q6,BMF,3.82408046509166
V$CREB_Q4_01 - V$MYB_Q3,BMF,3.81654978282343
V$GATA_Q6 - V$NFKB_Q6_01,BMF,3.6328925782821
V$FOX_Q2 - V$SP1_Q4_01,BMF,4.32184708122071
V$CEBP_Q2_01 - V$MYB_Q5_01,BMF,3.17029157153456
V$AP1_Q2_01 - V$SP1_Q4_01,BMF,3.5021811715892
V$AP1FJ_Q2 - V$CMYB_01,CFAP58,4.5206860942641
V$AP1_Q2 - V$CMYB_01,CFAP58,3.52154821961384
V$AP1_Q2_01 - V$CMYB_01,CFAP58,3.17893073237535
V$CREBP1CJUN_01 - V$E2F1_Q4,CFAP58,3.250138661
V$E2A_Q6 - V$NFKAPPAB50_01,CFAP58,3.2192617711009
V$E2A_Q6 - V$NFKAPPAB65_01,CFAP58,3.88791381615217
V$CREL_01 - V$SF1_Q6,CFAP58,3.89923568654897
V$CREL_01 - V$NF1_Q6_01,CFAP58,3.04739049213273
V$E2A_Q6 - V$NFKAPPAB_01,CFAP58,3.29319057187962
V$AP1FJ_Q2 - V$SF1_Q6,CFAP58,3.53149193759988
V$AP1FJ_Q2 - V$SMAD_Q6_01,CFAP58,3.61276077375166
V$AP1_Q2 - V$GRE_C,CFAP58,3.51536228968023
V$NF1_Q6 - V$PU1_Q6,CFAP58,3.03428161777348
V$EGR_Q6 - V$NFKB_Q6,CFAP58,3.23854267490425
V$NFKB_Q6 - V$SP1_Q4_01,CFAP58,3.16868603064463
V$NFKB_Q6 - V$SMAD_Q6_01,CFAP58,3.93942609302293
V$MYCMAX_B - V$SMAD3_Q6,CFAP58,3.34485113406628
V$CP2_02 - V$MYCMAX_B,CFAP58,3.07663945267686
V$ETS1_B - V$IRF_Q6,CFAP58,3.14347141965144
V$E2F_Q3_01 - V$HIF1_Q5,CFAP58,3.43220944895744
V$EGR_Q6 - V$STAT6_01,CFAP58,3.16511901521308
V$SP1_Q4_01 - V$STAT6_01,CFAP58,3.09644028141177
V$SF1_Q6 - V$SMAD_Q6_01,CFAP58,3.71939666520325
