PWM1,PWM2,pair,knownCompelPair,knownBioGridPair
V$AHRHIF_Q6,V$CMYB_01,V$AHRHIF_Q6 - V$CMYB_01,FALSE,FALSE
V$NFKAPPAB65_01,V$STAT_01,V$NFKAPPAB65_01 - V$STAT_01,TRUE,TRUE
V$CEBPB_01,V$NF1_Q6,V$CEBPB_01 - V$NF1_Q6,FALSE,FALSE
V$CEBPB_01,V$NF1_Q6_01,V$CEBPB_01 - V$NF1_Q6_01,FALSE,FALSE
V$CEBPB_02,V$NF1_Q6,V$CEBPB_02 - V$NF1_Q6,FALSE,FALSE
V$CEBPB_02,V$CP2_02,V$CEBPB_02 - V$CP2_02,TRUE,FALSE
V$AP1_Q2,V$CETS168_Q6,V$AP1_Q2 - V$CETS168_Q6,TRUE,TRUE
V$AP1_Q6,V$CETS168_Q6,V$AP1_Q6 - V$CETS168_Q6,TRUE,TRUE
V$AP1_Q6,V$GR_Q6_01,V$AP1_Q6 - V$GR_Q6_01,TRUE,TRUE
V$CEBP_Q2,V$DR4_Q2,V$CEBP_Q2 - V$DR4_Q2,FALSE,FALSE
V$AP1_Q4_01,V$GR_Q6,V$AP1_Q4_01 - V$GR_Q6,TRUE,TRUE
V$MYCMAX_B,V$NFKB_Q6,V$MYCMAX_B - V$NFKB_Q6,FALSE,TRUE
V$NFKB_Q6,V$SMAD_Q6_01,V$NFKB_Q6 - V$SMAD_Q6_01,FALSE,TRUE
V$MYB_Q5_01,V$STAT_01,V$MYB_Q5_01 - V$STAT_01,FALSE,TRUE
V$AHRHIF_Q6,V$STAT_01,V$AHRHIF_Q6 - V$STAT_01,FALSE,TRUE
V$CHOP_01,V$USF_Q6_01,V$CHOP_01 - V$USF_Q6_01,FALSE,FALSE
V$MYCMAX_B,V$SP1_Q4_01,V$MYCMAX_B - V$SP1_Q4_01,FALSE,TRUE
V$HIF1_Q5,V$SOX9_B1,V$HIF1_Q5 - V$SOX9_B1,FALSE,FALSE
V$AP1_01,V$CETS168_Q6,V$AP1_01 - V$CETS168_Q6,TRUE,TRUE
V$CREB_Q3,V$PU1_Q6,V$CREB_Q3 - V$PU1_Q6,TRUE,TRUE
V$AHRHIF_Q6,V$PU1_Q6,V$AHRHIF_Q6 - V$PU1_Q6,FALSE,FALSE
V$PEBP_Q6,V$USF_Q6_01,V$PEBP_Q6 - V$USF_Q6_01,FALSE,FALSE
V$AP1_Q2_01,V$CREB_Q3,V$AP1_Q2_01 - V$CREB_Q3,FALSE,TRUE
V$CP2_02,V$MYB_Q5_01,V$CP2_02 - V$MYB_Q5_01,FALSE,FALSE
V$AP1_Q2_01,V$SP1_Q4_01,V$AP1_Q2_01 - V$SP1_Q4_01,TRUE,TRUE
V$AP1_Q2_01,V$E2A_Q6,V$AP1_Q2_01 - V$E2A_Q6,FALSE,TRUE
V$E2A_Q6,V$MYOD_Q6_01,V$E2A_Q6 - V$MYOD_Q6_01,FALSE,TRUE
V$E2A_Q6,V$SP1_Q4_01,V$E2A_Q6 - V$SP1_Q4_01,TRUE,TRUE
V$PEBP_Q6,V$SP1_Q4_01,V$PEBP_Q6 - V$SP1_Q4_01,FALSE,FALSE
V$OCT1_Q6,V$VMYB_01,V$OCT1_Q6 - V$VMYB_01,FALSE,FALSE
V$E2A_Q6,V$SP1_01,V$E2A_Q6 - V$SP1_01,TRUE,TRUE
V$CREL_01,V$STAT_01,V$CREL_01 - V$STAT_01,TRUE,FALSE
V$AP1_Q2_01,V$CEBPB_01,V$AP1_Q2_01 - V$CEBPB_01,TRUE,FALSE
V$NFKB_Q6_01,V$OCT1_04,V$NFKB_Q6_01 - V$OCT1_04,FALSE,TRUE
V$AP1FJ_Q2,V$ETS_Q6,V$AP1FJ_Q2 - V$ETS_Q6,TRUE,TRUE
V$AP1_Q2,V$PU1_Q6,V$AP1_Q2 - V$PU1_Q6,TRUE,TRUE
V$LEF1_Q2,V$NFY_Q6,V$LEF1_Q2 - V$NFY_Q6,FALSE,FALSE
V$NF1_Q6,V$STAT5B_01,V$NF1_Q6 - V$STAT5B_01,FALSE,FALSE
V$AP1_C,V$STAT6_01,V$AP1_C - V$STAT6_01,TRUE,TRUE
V$AP1_C,V$PU1_Q6,V$AP1_C - V$PU1_Q6,TRUE,TRUE
V$AP1_C,V$IRF_Q6_01,V$AP1_C - V$IRF_Q6_01,FALSE,FALSE
V$MYCMAX_B,V$USF_Q6_01,V$MYCMAX_B - V$USF_Q6_01,FALSE,TRUE
V$AP1_Q4_01,V$STAT6_01,V$AP1_Q4_01 - V$STAT6_01,TRUE,TRUE
V$AP1_01,V$NFAT_Q4_01,V$AP1_01 - V$NFAT_Q4_01,TRUE,TRUE
V$AP1_Q2_01,V$LEF1_Q2,V$AP1_Q2_01 - V$LEF1_Q2,TRUE,FALSE
V$AP1_Q2_01,V$CEBP_Q2_01,V$AP1_Q2_01 - V$CEBP_Q2_01,TRUE,TRUE
V$AP1_Q4_01,V$NFAT_Q4_01,V$AP1_Q4_01 - V$NFAT_Q4_01,TRUE,TRUE
V$SOX9_B1,V$SP1_01,V$SOX9_B1 - V$SP1_01,FALSE,FALSE
V$ELK1_02,V$SREBP_Q3,V$ELK1_02 - V$SREBP_Q3,FALSE,FALSE
V$AHRHIF_Q6,V$CREL_01,V$AHRHIF_Q6 - V$CREL_01,FALSE,TRUE
V$CP2_01,V$HNF1_Q6,V$CP2_01 - V$HNF1_Q6,FALSE,FALSE
V$AP1FJ_Q2,V$PU1_Q6,V$AP1FJ_Q2 - V$PU1_Q6,TRUE,TRUE
V$GR_Q6,V$NFAT_Q6,V$GR_Q6 - V$NFAT_Q6,FALSE,FALSE
V$AP1_C,V$OCT_Q6,V$AP1_C - V$OCT_Q6,TRUE,FALSE
V$PR_Q2,V$SOX9_B1,V$PR_Q2 - V$SOX9_B1,FALSE,FALSE
V$OCT_Q6,V$STAT6_01,V$OCT_Q6 - V$STAT6_01,FALSE,FALSE
V$AP1_01,V$STAT_Q6,V$AP1_01 - V$STAT_Q6,TRUE,TRUE
V$SMAD3_Q6,V$SMAD_Q6_01,V$SMAD3_Q6 - V$SMAD_Q6_01,TRUE,TRUE
V$NFKB_Q6_01,V$SREBP_Q3,V$NFKB_Q6_01 - V$SREBP_Q3,FALSE,FALSE
V$GATA_Q6,V$GR_Q6_01,V$GATA_Q6 - V$GR_Q6_01,FALSE,FALSE
V$GR_Q6_01,V$OCT_Q6,V$GR_Q6_01 - V$OCT_Q6,FALSE,TRUE
V$IRF_Q6_01,V$OCT_Q6,V$IRF_Q6_01 - V$OCT_Q6,FALSE,FALSE
V$AP1_Q2_01,V$IRF_Q6_01,V$AP1_Q2_01 - V$IRF_Q6_01,FALSE,FALSE
V$AP1_Q2_01,V$PEBP_Q6,V$AP1_Q2_01 - V$PEBP_Q6,FALSE,TRUE
V$AP1_Q4_01,V$IRF_Q6_01,V$AP1_Q4_01 - V$IRF_Q6_01,FALSE,FALSE
V$AHRHIF_Q6,V$NFAT_Q4_01,V$AHRHIF_Q6 - V$NFAT_Q4_01,FALSE,FALSE
V$HNF4_Q6,V$PR_Q2,V$HNF4_Q6 - V$PR_Q2,FALSE,TRUE
V$AP1FJ_Q2,V$CMYB_01,V$AP1FJ_Q2 - V$CMYB_01,FALSE,FALSE
V$CETS1P54_01,V$LEF1TCF1_Q4,V$CETS1P54_01 - V$LEF1TCF1_Q4,FALSE,FALSE
V$AP1_Q6,V$ELF1_Q6,V$AP1_Q6 - V$ELF1_Q6,TRUE,FALSE
V$CEBP_Q2,V$OCT_Q6,V$CEBP_Q2 - V$OCT_Q6,FALSE,TRUE
V$GR_Q6,V$NFAT_Q4_01,V$GR_Q6 - V$NFAT_Q4_01,FALSE,FALSE
V$GATA_C,V$IPF1_Q4,V$GATA_C - V$IPF1_Q4,FALSE,FALSE
V$GATA_C,V$MYB_Q3,V$GATA_C - V$MYB_Q3,FALSE,TRUE
V$ETS1_B,V$HNF1_Q6,V$ETS1_B - V$HNF1_Q6,FALSE,FALSE
V$ELF1_Q6,V$SOX9_B1,V$ELF1_Q6 - V$SOX9_B1,FALSE,FALSE
V$NFAT_Q4_01,V$SOX9_B1,V$NFAT_Q4_01 - V$SOX9_B1,FALSE,FALSE
V$ETS_Q6,V$SOX9_B1,V$ETS_Q6 - V$SOX9_B1,FALSE,FALSE
V$IRF_Q6_01,V$SOX9_B1,V$IRF_Q6_01 - V$SOX9_B1,FALSE,FALSE
V$GATA_Q6,V$IPF1_Q4,V$GATA_Q6 - V$IPF1_Q4,FALSE,FALSE
V$PU1_Q6,V$STAT6_01,V$PU1_Q6 - V$STAT6_01,FALSE,FALSE
V$ETS_Q6,V$STAT6_01,V$ETS_Q6 - V$STAT6_01,FALSE,FALSE
V$ELF1_Q6,V$GR_Q6_01,V$ELF1_Q6 - V$GR_Q6_01,FALSE,FALSE
V$ELF1_Q6,V$PR_Q2,V$ELF1_Q6 - V$PR_Q2,FALSE,FALSE
V$OCT_Q6,V$SMAD_Q6_01,V$OCT_Q6 - V$SMAD_Q6_01,FALSE,TRUE
V$GR_Q6_01,V$LEF1TCF1_Q4,V$GR_Q6_01 - V$LEF1TCF1_Q4,FALSE,FALSE
V$STAT5B_01,V$VMYB_01,V$STAT5B_01 - V$VMYB_01,FALSE,FALSE
V$CMYB_01,V$OCT_C,V$CMYB_01 - V$OCT_C,FALSE,FALSE
V$ETS1_B,V$PIT1_Q6,V$ETS1_B - V$PIT1_Q6,FALSE,FALSE
V$AP1_Q2_01,V$DR1_Q3,V$AP1_Q2_01 - V$DR1_Q3,FALSE,FALSE
V$ETS_Q4,V$LEF1TCF1_Q4,V$ETS_Q4 - V$LEF1TCF1_Q4,FALSE,FALSE
V$AP1_Q2_01,V$IRF_Q6,V$AP1_Q2_01 - V$IRF_Q6,FALSE,FALSE
V$IRF_Q6,V$MAF_Q6_01,V$IRF_Q6 - V$MAF_Q6_01,FALSE,TRUE
V$PR_Q2,V$STAT_Q6,V$PR_Q2 - V$STAT_Q6,TRUE,TRUE
V$CREB_Q4_01,V$EGR_Q6,V$CREB_Q4_01 - V$EGR_Q6,FALSE,FALSE
V$OCT_Q6,V$VMYB_01,V$OCT_Q6 - V$VMYB_01,FALSE,FALSE
V$CMYB_01,V$PU1_Q6,V$CMYB_01 - V$PU1_Q6,FALSE,FALSE
V$CREBP1CJUN_01,V$NFY_01,V$CREBP1CJUN_01 - V$NFY_01,FALSE,TRUE
V$CREBP1CJUN_01,V$NFY_Q6_01,V$CREBP1CJUN_01 - V$NFY_Q6_01,FALSE,TRUE
V$NF1_Q6,V$OCT1_02,V$NF1_Q6 - V$OCT1_02,FALSE,FALSE
V$AP1FJ_Q2,V$STAT6_01,V$AP1FJ_Q2 - V$STAT6_01,TRUE,TRUE
V$AP1_Q6,V$CP2_02,V$AP1_Q6 - V$CP2_02,FALSE,FALSE
V$MYB_Q6,V$STAT6_01,V$MYB_Q6 - V$STAT6_01,FALSE,FALSE
V$CEBP_Q2,V$STAT_01,V$CEBP_Q2 - V$STAT_01,TRUE,TRUE
V$AHRHIF_Q6,V$ETS1_B,V$AHRHIF_Q6 - V$ETS1_B,FALSE,FALSE
V$ETS1_B,V$MAF_Q6_01,V$ETS1_B - V$MAF_Q6_01,FALSE,TRUE
V$ETS_Q4,V$HIF1_Q5,V$ETS_Q4 - V$HIF1_Q5,FALSE,FALSE
V$MYB_Q5_01,V$STAT6_01,V$MYB_Q5_01 - V$STAT6_01,FALSE,FALSE
V$DR4_Q2,V$HNF4ALPHA_Q6,V$DR4_Q2 - V$HNF4ALPHA_Q6,TRUE,TRUE
V$MYB_Q5_01,V$PU1_Q6,V$MYB_Q5_01 - V$PU1_Q6,FALSE,FALSE
V$HMGIY_Q6,V$MYB_Q5_01,V$HMGIY_Q6 - V$MYB_Q5_01,FALSE,FALSE
V$DR1_Q3,V$GR_Q6_01,V$DR1_Q3 - V$GR_Q6_01,FALSE,TRUE
V$HNF3_Q6,V$SMAD_Q6_01,V$HNF3_Q6 - V$SMAD_Q6_01,FALSE,FALSE
V$HNF4_Q6,V$OCT_Q6,V$HNF4_Q6 - V$OCT_Q6,FALSE,FALSE
V$ETS_Q6,V$MYB_Q5_01,V$ETS_Q6 - V$MYB_Q5_01,TRUE,FALSE
V$SREBP_Q3,V$VMYB_01,V$SREBP_Q3 - V$VMYB_01,FALSE,FALSE
V$CREB_02,V$ELK1_01,V$CREB_02 - V$ELK1_01,FALSE,FALSE
V$ELK1_01,V$TAXCREB_01,V$ELK1_01 - V$TAXCREB_01,FALSE,FALSE
V$ELK1_02,V$SF1_Q6,V$ELK1_02 - V$SF1_Q6,FALSE,FALSE
V$AP1_Q2,V$CEBP_Q3,V$AP1_Q2 - V$CEBP_Q3,TRUE,TRUE
V$ETS_Q4,V$GR_Q6,V$ETS_Q4 - V$GR_Q6,TRUE,TRUE
V$GR_Q6_01,V$NFKB_Q6,V$GR_Q6_01 - V$NFKB_Q6,FALSE,TRUE
V$GRE_C,V$GR_Q6_01,V$GRE_C - V$GR_Q6_01,TRUE,TRUE
V$GRE_C,V$SMAD_Q6_01,V$GRE_C - V$SMAD_Q6_01,FALSE,TRUE
V$NFAT_Q6,V$OSF2_Q6,V$NFAT_Q6 - V$OSF2_Q6,FALSE,FALSE
V$HNF4ALPHA_Q6,V$NFY_Q6_01,V$HNF4ALPHA_Q6 - V$NFY_Q6_01,TRUE,FALSE
V$PU1_Q6,V$SMAD_Q6_01,V$PU1_Q6 - V$SMAD_Q6_01,FALSE,FALSE
V$CEBP_Q3,V$E2F_Q3_01,V$CEBP_Q3 - V$E2F_Q3_01,FALSE,TRUE
