V$AHRHIF_Q6,V$AP1_C,FALSE,TRUE,V$AHRHIF_Q6V$AP1_C
V$AHRHIF_Q6,V$CREB_Q3,FALSE,FALSE,V$AHRHIF_Q6V$CREB_Q3
V$AHRHIF_Q6,V$CREL_01,FALSE,TRUE,V$AHRHIF_Q6V$CREL_01
V$AHRHIF_Q6,V$DR3_Q4,FALSE,FALSE,V$AHRHIF_Q6V$DR3_Q4
V$AHRHIF_Q6,V$ER_Q6_02,FALSE,TRUE,V$AHRHIF_Q6V$ER_Q6_02
V$AHRHIF_Q6,V$ETS_Q6,FALSE,FALSE,V$AHRHIF_Q6V$ETS_Q6
V$AHRHIF_Q6,V$ETS1_B,FALSE,FALSE,V$AHRHIF_Q6V$ETS1_B
V$AHRHIF_Q6,V$IRF_Q6,FALSE,FALSE,V$AHRHIF_Q6V$IRF_Q6
V$AHRHIF_Q6,V$MYB_Q6,FALSE,FALSE,V$AHRHIF_Q6V$MYB_Q6
V$AHRHIF_Q6,V$NF1_Q6_01,FALSE,FALSE,V$AHRHIF_Q6V$NF1_Q6_01
V$AHRHIF_Q6,V$PPARA_02,FALSE,FALSE,V$AHRHIF_Q6V$PPARA_02
V$AHRHIF_Q6,V$SF1_Q6,FALSE,FALSE,V$AHRHIF_Q6V$SF1_Q6
V$AHRHIF_Q6,V$SMAD_Q6_01,TRUE,TRUE,V$AHRHIF_Q6V$SMAD_Q6_01
V$AHRHIF_Q6,V$SP1_Q2_01,TRUE,TRUE,V$AHRHIF_Q6V$SP1_Q2_01
V$AHRHIF_Q6,V$USF_Q6_01,FALSE,FALSE,V$AHRHIF_Q6V$USF_Q6_01
V$AML_Q6,V$CETS1P54_01,FALSE,TRUE,V$AML_Q6V$CETS1P54_01
V$AML_Q6,V$E2A_Q6,FALSE,TRUE,V$AML_Q6V$E2A_Q6
V$AML_Q6,V$EBF_Q6,FALSE,FALSE,V$AML_Q6V$EBF_Q6
V$AML_Q6,V$GRE_C,FALSE,FALSE,V$AML_Q6V$GRE_C
V$AML_Q6,V$HNF3_Q6,FALSE,FALSE,V$AML_Q6V$HNF3_Q6
V$AML_Q6,V$LEF1_Q2,FALSE,FALSE,V$AML_Q6V$LEF1_Q2
V$AML_Q6,V$MYOD_Q6_01,FALSE,TRUE,V$AML_Q6V$MYOD_Q6_01
V$AML_Q6,V$OSF2_Q6,FALSE,TRUE,V$AML_Q6V$OSF2_Q6
V$AML_Q6,V$TAL1ALPHAE47_01,FALSE,TRUE,V$AML_Q6V$TAL1ALPHAE47_01
V$AP1_01,V$AP1_Q2,TRUE,TRUE,V$AP1_01V$AP1_Q2
V$AP1_01,V$CEBP_Q2_01,TRUE,TRUE,V$AP1_01V$CEBP_Q2_01
V$AP1_01,V$CETS1P54_01,TRUE,TRUE,V$AP1_01V$CETS1P54_01
V$AP1_01,V$CP2_02,FALSE,FALSE,V$AP1_01V$CP2_02
V$AP1_01,V$EGR_Q6,FALSE,FALSE,V$AP1_01V$EGR_Q6
V$AP1_01,V$GRE_C,TRUE,TRUE,V$AP1_01V$GRE_C
V$AP1_01,V$IRF_Q6,FALSE,FALSE,V$AP1_01V$IRF_Q6
V$AP1_01,V$NFKAPPAB65_01,TRUE,TRUE,V$AP1_01V$NFKAPPAB65_01
V$AP1_01,V$SP1_Q6_01,TRUE,TRUE,V$AP1_01V$SP1_Q6_01
V$AP1_C,V$AP1_Q2_01,TRUE,TRUE,V$AP1_CV$AP1_Q2_01
V$AP1_C,V$CEBP_Q3,TRUE,TRUE,V$AP1_CV$CEBP_Q3
V$AP1_C,V$CEBPB_01,TRUE,FALSE,V$AP1_CV$CEBPB_01
V$AP1_C,V$CETS1P54_01,TRUE,TRUE,V$AP1_CV$CETS1P54_01
V$AP1_C,V$CREB_Q3,FALSE,TRUE,V$AP1_CV$CREB_Q3
V$AP1_C,V$ER_Q6,TRUE,TRUE,V$AP1_CV$ER_Q6
V$AP1_C,V$MYB_Q5_01,FALSE,FALSE,V$AP1_CV$MYB_Q5_01
V$AP1_C,V$NF1_Q6_01,FALSE,FALSE,V$AP1_CV$NF1_Q6_01
V$AP1_C,V$NFAT_Q4_01,TRUE,TRUE,V$AP1_CV$NFAT_Q4_01
V$AP1_C,V$NFAT_Q6,TRUE,TRUE,V$AP1_CV$NFAT_Q6
V$AP1_C,V$NFKB_Q6,TRUE,TRUE,V$AP1_CV$NFKB_Q6
V$AP1_C,V$PEBP_Q6,FALSE,TRUE,V$AP1_CV$PEBP_Q6
V$AP1_C,V$SP1_Q6,TRUE,TRUE,V$AP1_CV$SP1_Q6
V$AP1_C,V$SP1_Q6_01,TRUE,TRUE,V$AP1_CV$SP1_Q6_01
V$AP1_Q2_01,V$AP1_Q4_01,TRUE,TRUE,V$AP1_Q2_01V$AP1_Q4_01
V$AP1_Q2_01,V$CEBP_Q2,TRUE,TRUE,V$AP1_Q2_01V$CEBP_Q2
V$AP1_Q2_01,V$CEBP_Q2_01,TRUE,TRUE,V$AP1_Q2_01V$CEBP_Q2_01
V$AP1_Q2_01,V$CEBP_Q3,TRUE,TRUE,V$AP1_Q2_01V$CEBP_Q3
V$AP1_Q2_01,V$CEBPB_02,TRUE,FALSE,V$AP1_Q2_01V$CEBPB_02
V$AP1_Q2_01,V$CREB_Q3,FALSE,TRUE,V$AP1_Q2_01V$CREB_Q3
V$AP1_Q2_01,V$E2A_Q6,FALSE,TRUE,V$AP1_Q2_01V$E2A_Q6
V$AP1_Q2_01,V$ELF1_Q6,TRUE,FALSE,V$AP1_Q2_01V$ELF1_Q6
